"id","curso","aula","link1","link2","tempo"
3333,"Método 3Ps de desenvolver Projetos FTTH","Aula 05: Balanceado o Desbalanceado","https://b-vz-05e06853-571.tv.pandavideo.com.br/3748c358-2118-40d3-9782-683536fb9f75/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=3748c358-2118-40d3-9782-683536fb9f75","00:13:40"
3334,"Método 3Ps de desenvolver Projetos FTTH","Aula 06: Possíveis cabos ópticos","https://b-vz-05e06853-571.tv.pandavideo.com.br/cb6ed08a-cfdc-4574-b7d8-29dd9bd6f7a8/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=cb6ed08a-cfdc-4574-b7d8-29dd9bd6f7a8","00:10:02"
3335,"Método 3Ps de desenvolver Projetos FTTH","Aula 07: Análise de outras necessidades","https://b-vz-05e06853-571.tv.pandavideo.com.br/d91ad893-e84c-4378-8bfd-97bec106e711/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=d91ad893-e84c-4378-8bfd-97bec106e711","00:10:42"
3353,"Método 3Ps de desenvolver Projetos FTTH","Aula 03: OZMaps parte 2","https://b-vz-05e06853-571.tv.pandavideo.com.br/3ab9b110-4568-456c-9b73-1e83a052adb4/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=3ab9b110-4568-456c-9b73-1e83a052adb4","00:26:35"
2678,"REDES TCPIP","ENDERECAMENTO IPV6","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=6f2dc6a3-1d88-4714-8dd8-f17506643975",NULL,"00:17:44"
3354,"Método 3Ps de desenvolver Projetos FTTH","Aula 04: Geogrid Maps","https://b-vz-05e06853-571.tv.pandavideo.com.br/b7a86c0d-9805-4849-b91e-cb998f68eb5c/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=b7a86c0d-9805-4849-b91e-cb998f68eb5c","00:48:10"
3355,"Método 3Ps de desenvolver Projetos FTTH","Aula 05: Geogrid Maps Parte 2","https://b-vz-05e06853-571.tv.pandavideo.com.br/115150f9-4dad-446b-b8de-0cd7b00e953a/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=115150f9-4dad-446b-b8de-0cd7b00e953a","00:40:44"
3356,"Método 3Ps de desenvolver Projetos FTTH","Aula 06: GeoSite","https://b-vz-05e06853-571.tv.pandavideo.com.br/3f8e3e48-9a49-4711-af33-3929b33cafa8/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=3f8e3e48-9a49-4711-af33-3929b33cafa8","01:26:18"
3357,"Método 3Ps de desenvolver Projetos FTTH","Aula 07: GeoSite Parte 2","https://b-vz-05e06853-571.tv.pandavideo.com.br/34d5a726-e837-4279-97c9-7f8f89417086/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=34d5a726-e837-4279-97c9-7f8f89417086","00:40:35"
3358,"Método 3Ps de desenvolver Projetos FTTH","Aula 08: AutoCad","https://b-vz-05e06853-571.tv.pandavideo.com.br/31540292-3a0a-4bb0-b873-2735b5ca7aeb/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=31540292-3a0a-4bb0-b873-2735b5ca7aeb","01:07:19"
3060,"MIKROTIK INICIANTE","IP ESTATICO PRIVADO NA WAN","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=9691bf3d-2106-4942-9103-6230432db269",NULL,"00:14:46"
3059,"MIKROTIK INICIANTE","IP ESTATICO PUBLICO NA WAN","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=27496cfe-b6eb-4811-bc48-b5ae09c42713",NULL,"00:24:05"
3051,"MIKROTIK INICIANTE","CONFIGURANDO SERVIÇOS","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=a07339e6-7023-4b72-b7e9-62dcbf1ad459",NULL,"00:18:46"
3050,"MIKROTIK INICIANTE","PRIMEIRAS CONFIGURAÇÕES","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=6430e805-74c9-4063-8ee3-9502bb1366b1",NULL,"00:25:06"
3049,"MIKROTIK INICIANTE","PASSOS IMPORTANTES PARA O ACESSO","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=a69e0619-9b51-4e43-a1f3-fdb79671d583",NULL,"00:16:05"
3048,"MIKROTIK INICIANTE","ACESSO POR SERVIÇOS E CONSOLE","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=c1d9e01a-749b-4de5-9cd8-d7fddd91dab6",NULL,"00:12:00"
3047,"MIKROTIK INICIANTE","PRIMEIROS ACESSOS AO MIKROTIK","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=cee2bd78-658a-44e2-be8b-1e8e15fb96ef",NULL,"00:19:23"
3061,"MIKROTIK INICIANTE","AULA BONUS - BACKUP E RESTAURACAO DE MIKROTIK","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=4306f8c5-8efe-46a3-bf1c-93580e952d54",NULL,"00:09:13"
3045,"MIKROTIK INICIANTE","O QUE É O MIKROTIK","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=e6193a17-9d36-4140-afeb-26e4bab526b2",NULL,"00:09:51"
3046,"MIKROTIK INICIANTE","O QUE POSSO FAZER COM UM MIKROTIK","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=a3d5dede-ed78-4636-be16-e784a175f9c6",NULL,"00:11:51"
3052,"MIKROTIK INICIANTE","ACRESCENTANDO O IPV6","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=7ba74ce6-a04e-40c9-937f-3353052aad5e",NULL,"00:09:02"
3053,"MIKROTIK INICIANTE","INTERFACE WIRELESS","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=68aa257e-3429-43d5-9e55-32cd32ec9081",NULL,"00:07:18"
3054,"MIKROTIK INICIANTE","CONHECENDO O FIREWALL","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=c2cb25e4-8e6c-4b2c-8f23-05ce8c98dbb4",NULL,"00:07:22"
3055,"MIKROTIK INICIANTE","PRIMEIRAS REGRAS DE FIREWALL","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=03c79273-ab6f-4dc1-adf9-71c84dc15120",NULL,"00:10:02"
